"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupacio","Nombre"
2023,1,6,"Gràcia",28,"Vallcarca i els Penitents","Homes","Demanda No Aturats",81
2023,1,6,"Gràcia",29,"el Coll","Homes","Demanda No Aturats",32
2023,1,6,"Gràcia",30,"la Salut","Homes","Demanda No Aturats",75
2023,1,6,"Gràcia",31,"la Vila de Gràcia","Homes","Demanda No Aturats",273
2023,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Homes","Demanda No Aturats",184
2023,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Homes","Demanda No Aturats",145
2023,1,7,"Horta-Guinardó",34,"Can Baró","Homes","Demanda No Aturats",54
2023,1,7,"Horta-Guinardó",35,"el Guinardó","Homes","Demanda No Aturats",237
2023,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Homes","Demanda No Aturats",65
2023,1,7,"Horta-Guinardó",37,"el Carmel","Homes","Demanda No Aturats",223
2023,1,7,"Horta-Guinardó",38,"la Teixonera","Homes","Demanda No Aturats",83
2023,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Homes","Demanda No Aturats",53
2023,1,7,"Horta-Guinardó",40,"Montbau","Homes","Demanda No Aturats",39
2023,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Homes","Demanda No Aturats",41
2023,1,7,"Horta-Guinardó",42,"la Clota","Homes","Demanda No Aturats",3
2023,1,7,"Horta-Guinardó",43,"Horta","Homes","Demanda No Aturats",204
2023,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Homes","Demanda No Aturats",197
2023,1,8,"Nou Barris",45,"Porta","Homes","Demanda No Aturats",189
2023,1,8,"Nou Barris",46,"el Turó de la Peira","Homes","Demanda No Aturats",124
2023,1,8,"Nou Barris",47,"Can Peguera","Homes","Demanda No Aturats",17
2023,1,8,"Nou Barris",48,"la Guineueta","Homes","Demanda No Aturats",124
2023,1,8,"Nou Barris",49,"Canyelles","Homes","Demanda No Aturats",60
2023,1,8,"Nou Barris",50,"les Roquetes","Homes","Demanda No Aturats",131
2023,1,8,"Nou Barris",51,"Verdun","Homes","Demanda No Aturats",101
2023,1,8,"Nou Barris",52,"la Prosperitat","Homes","Demanda No Aturats",212
2023,1,8,"Nou Barris",53,"la Trinitat Nova","Homes","Demanda No Aturats",86
2023,1,8,"Nou Barris",54,"Torre Baró","Homes","Demanda No Aturats",24
2023,1,8,"Nou Barris",55,"Ciutat Meridiana","Homes","Demanda No Aturats",123
2023,1,8,"Nou Barris",56,"Vallbona","Homes","Demanda No Aturats",14
2023,1,9,"Sant Andreu",57,"la Trinitat Vella","Homes","Demanda No Aturats",114
2023,1,9,"Sant Andreu",58,"Baró de Viver","Homes","Demanda No Aturats",20
2023,1,9,"Sant Andreu",59,"el Bon Pastor","Homes","Demanda No Aturats",115
2023,1,9,"Sant Andreu",60,"Sant Andreu","Homes","Demanda No Aturats",464
2023,1,9,"Sant Andreu",61,"la Sagrera","Homes","Demanda No Aturats",190
2023,1,9,"Sant Andreu",62,"el Congrés i els Indians","Homes","Demanda No Aturats",93
